gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1,0,1,1,-1.285566089167874,0,1,0,0,2,0,0,0,0,0,0,2,-1.1538801796856977,-0.9971298052494171,1
1,0,1,0,1.6101837738818572,1,2,0,2,2,2,2,2,2,2,1,1,0.8436167666740624,1.7996074212770379,0
0,0,0,1,-0.6330027397482163,1,0,0,0,0,0,0,2,2,0,1,3,-0.006275772534794672,-0.5282017777895489,1
0,1,1,0,1.5693985645431285,1,2,1,2,2,2,2,0,0,2,1,1,1.0465265314166856,1.9749756505698193,0
1,1,1,0,-1.2447808798291453,1,0,1,0,0,2,0,2,2,0,1,1,1.0182522199361563,-0.9303134069440289,0
0,0,1,1,-0.22515064636093016,1,0,0,2,2,2,2,0,0,1,0,3,0.041956876461402795,-0.18348739802120945,0
1,0,0,0,-1.285566089167874,1,0,2,1,1,1,1,1,1,0,0,0,-1.4865191382801624,-1.0015415846026945,0
1,1,0,0,-1.285566089167874,1,0,0,0,0,0,0,0,0,0,0,0,-0.6532585470010285,-0.9904900773227343,0
0,0,1,1,1.6101837738818572,1,2,1,2,2,0,2,2,0,2,0,0,1.164613361717721,2.1888366547199474,0
1,0,0,0,-1.1224252518129596,1,0,1,0,0,0,0,0,0,0,1,2,0.16004370676243765,-0.8706440911909503,1
0,0,0,0,0.5497683310749134,1,0,1,0,0,2,0,0,0,0,1,1,0.3296895756456144,0.5549782890271491,0
1,0,0,0,0.060345819010170096,1,2,1,0,2,2,0,2,2,0,1,2,1.3791654900111503,0.5553974080657104,1
0,0,0,0,-0.877713995780588,1,2,1,0,0,2,0,2,2,0,1,0,1.0964223752058553,-0.5227752891850175,1
1,0,1,1,-0.9184992051193165,1,0,0,0,2,0,0,0,0,1,0,3,-0.5102237948054088,-0.8005850350609032,0
0,0,1,1,1.5286133552044,1,2,0,2,2,0,0,2,0,2,1,1,0.14341175883271443,1.13911993429786,0
0,0,1,1,-0.6330027397482163,1,0,2,1,1,1,1,1,1,1,0,3,-1.4682239955574667,-0.8259307074454826,0
0,0,0,0,1.2431168898332998,1,2,0,2,2,2,2,2,0,2,1,1,0.497672249735819,1.1343110948027872,0
0,0,1,0,-0.7961435771031307,1,2,0,2,2,0,2,2,0,0,1,2,0.37625902984883963,-0.5774592942688924,0
0,0,0,0,0.6721239590910992,1,2,1,0,0,0,0,0,2,0,1,2,0.6523493654822452,0.7130964610486155,0
1,0,0,0,-1.2447808798291453,1,0,0,0,2,0,0,0,0,0,0,3,-0.5202029635632426,-0.9676591191695231,0
0,0,0,0,-1.2447808798291453,1,0,1,0,0,0,0,2,0,0,1,2,0.5242833664233765,-0.9468575795188195,1
1,0,0,0,0.7944795871072851,1,2,0,2,0,0,2,2,2,2,1,1,0.4943458601498745,0.8503469167290794,0
0,0,1,1,1.4878281458656715,1,2,0,2,0,2,2,0,0,2,1,1,-0.024570915257490132,0.8663616757814769,0
0,1,0,0,0.4274127030587276,1,2,1,0,2,0,0,2,0,0,1,2,0.8436167666740624,0.6831184203430948,0
0,0,0,0,-0.7145731584256735,1,0,1,2,2,0,0,2,2,0,1,1,1.1380022450301635,-0.3811571719448089,1
0,1,1,0,-0.30672106503838736,1,2,0,2,0,0,2,2,0,0,1,1,0.15339092759054826,-0.23722287054412966,0
0,1,1,0,-1.0000696237967737,1,2,1,0,2,0,0,0,0,0,1,1,0.5242833664233765,-0.7310553924532495,1
0,1,1,1,1.1207612618171139,1,0,0,2,2,2,2,0,2,1,1,1,0.33135277043858663,0.9555899132015149,0
1,1,0,0,-0.5922175304094877,1,2,1,0,0,0,0,2,2,0,1,2,1.0165890251431842,-0.2372669883376625,1
0,0,1,1,1.2431168898332998,1,2,1,2,0,0,0,2,2,1,1,1,1.1562973877528593,1.7739088065441964,0
1,1,1,1,1.3654725178494855,1,2,1,0,2,2,2,2,2,1,1,2,1.4490196713159882,2.1114761037602268,0
0,0,1,1,0.060345819010170096,1,2,2,1,1,1,1,1,1,2,0,1,-1.3285156329477916,-0.615907951332706,0
0,0,0,0,1.6101837738818572,1,2,1,0,0,2,2,2,2,2,1,1,1.417418970249514,2.454425771787254,0
0,0,1,0,0.590553540413642,1,2,1,0,0,2,0,2,2,0,1,2,1.1845716992333886,1.0662152804849487,0
1,0,0,0,1.1207612618171139,1,2,1,0,2,0,0,2,0,0,1,0,0.8319744031232563,1.3942751931946653,0
1,0,1,0,1.6101837738818572,0,1,0,2,2,2,0,0,0,2,0,0,-0.7580398189582848,0.29631566554448774,0
0,0,1,1,-0.5922175304094877,1,0,0,0,0,2,2,0,0,1,1,1,-0.3488938998870934,-0.5882019769941232,0
0,0,0,0,-0.9592844144580451,1,2,1,0,0,0,0,2,2,0,0,2,0.9816619344907653,-0.6322535938365993,1
0,0,0,0,-1.2039956704904167,1,0,0,0,2,0,2,2,2,0,1,2,0.34632152357533763,-0.9027618448828107,0
1,0,1,0,0.590553540413642,1,2,1,0,2,0,0,0,0,1,1,2,0.4660715486693452,0.6000004973273462,0
0,0,0,0,-0.06200980900601573,1,0,0,0,2,2,2,2,2,2,0,3,0.476050717427179,0.09125616120414833,0
0,0,1,1,0.7129091684298279,1,0,2,1,1,1,1,1,1,2,0,0,-1.4881823330731347,-0.5997608388997103,0
1,0,0,0,-0.9184992051193165,1,0,1,2,0,2,0,0,0,0,1,3,0.497672249735819,-0.618974137983234,0
1,0,0,0,-1.285566089167874,1,0,0,0,0,0,2,0,0,0,0,3,-0.526855742735132,-0.9888136011684887,0
0,0,1,1,0.7944795871072851,1,0,2,1,1,1,1,1,1,1,1,2,-1.4798663591082732,-0.5292826637311018,0
1,1,1,1,1.2839020991720282,1,2,1,2,0,2,2,2,2,2,1,0,1.5538009432732443,2.1214687839954,0
1,0,1,1,1.2023316804945712,1,2,2,1,1,1,1,1,1,2,1,0,-1.3518003600494042,-0.38195129222839896,0
0,0,0,1,-1.2039956704904167,1,0,0,2,0,0,2,0,2,0,1,0,-0.012928551706684058,-0.9321884131691718,0
0,1,0,0,0.9576204244621995,1,2,1,2,2,2,0,2,2,1,0,2,1.5172106578278532,1.6981585550484213,0
0,0,0,0,0.5497683310749134,1,0,0,0,0,0,0,0,2,1,0,1,-0.3073140300627853,0.17580791250971212,0
0,0,1,1,-1.0000696237967737,1,0,0,2,2,0,0,0,0,0,0,3,-0.3405779259222318,-0.7976953195845065,0
1,1,0,0,-0.10279501834474433,1,0,0,2,2,0,0,2,2,0,1,2,0.3280263808526422,-0.07899440403883119,0
0,0,1,1,0.5089831217361848,1,2,2,1,1,1,1,1,1,1,1,1,-1.2969149318813176,-0.47371630277657145,0
0,0,0,1,-1.285566089167874,1,0,1,0,0,0,0,2,0,0,1,2,0.48104030180609575,-0.975445909728058,1
0,0,1,1,-0.877713995780588,0,1,0,2,0,0,0,2,2,0,0,2,-0.4769598989459623,-0.7610334331587703,0
0,0,1,0,-1.0408548331355023,1,0,1,0,0,2,0,0,0,0,1,0,0.34133193919642096,-0.7912320628319548,1
0,0,0,0,0.38662749371999894,1,0,1,0,2,2,2,2,2,0,1,0,1.2943425555695618,0.8987441362345338,0
0,0,1,0,0.6721239590910992,1,0,2,1,1,1,1,1,1,2,1,0,-1.4881823330731347,-0.5810328355450473,0
1,0,0,0,-0.9592844144580451,1,2,1,0,2,0,0,2,2,0,1,1,1.1446550242020528,-0.6051211508139425,0
0,0,1,0,0.1011310283488987,1,0,0,2,0,0,0,2,0,1,1,0,-0.0910987069763833,-0.033045722074445935,0
0,0,1,1,0.6313387497523706,1,0,2,1,1,1,1,1,1,2,0,0,-1.4715503851434115,-0.5441283012548808,0
0,0,1,1,0.5497683310749134,1,0,2,1,1,1,1,1,1,2,1,3,-1.4948351122450239,-0.6014373150539558,0
1,0,1,0,-0.14358022768347295,0,1,0,0,0,0,0,2,0,0,0,3,-1.0357933493846627,-0.5651945476667809,0
1,0,1,1,-0.10279501834474433,1,0,1,0,2,2,0,0,0,0,0,0,0.5708528206266013,0.12346215048307425,0
1,1,0,0,-1.285566089167874,1,0,1,0,0,0,2,0,0,0,0,2,0.32636318605966996,-0.977497387127332,0
1,0,1,1,1.3654725178494855,1,2,0,2,0,2,2,2,2,2,1,3,0.635717417552522,1.5105476380502945,0
0,0,0,0,1.324687308510757,1,2,1,2,2,2,0,2,2,0,1,1,1.5355058005505486,2.124998207478022,0
1,0,0,0,1.6101837738818572,1,2,1,0,2,2,0,2,2,2,1,0,1.1978772575771675,2.2803148996101568,0
0,0,0,0,-0.8369287864418593,1,2,1,2,0,0,0,0,0,0,1,2,0.4677347434623174,-0.6013270205701239,1
1,0,1,1,1.5693985645431285,1,2,0,2,2,0,2,0,0,1,1,1,0.06524160356301494,1.084568282594583,0
1,0,0,0,-1.1224252518129596,1,0,2,1,1,1,1,1,1,0,0,3,-1.458244826799633,-0.9602252709592505,1
1,0,0,0,0.7944795871072851,1,0,2,1,1,1,1,1,1,2,0,0,-1.4599080215926052,-0.5219811689014275,0
0,1,1,0,-0.30672106503838736,1,0,1,0,2,2,0,2,2,0,1,2,1.1180439075144957,0.09888853948531852,1
1,0,0,0,-1.285566089167874,1,0,2,1,1,1,1,1,1,0,0,3,-1.4865191382801624,-1.0015415846026945,0
0,0,1,1,-1.285566089167874,1,0,2,1,1,1,1,1,1,0,0,2,-1.511467060174747,-1.0018724680541904,0
1,0,0,0,0.22348665636508452,1,2,1,0,0,2,2,2,0,1,0,0,1.001620272006433,0.5802577847214292,0
0,1,1,0,1.3654725178494855,0,1,0,0,2,2,0,2,0,1,0,0,-0.6432793782431946,0.3251025258246236,0
1,0,1,0,1.4470429365269428,1,2,1,0,2,2,2,2,2,2,1,0,1.50057870989813,2.347726888128238,1
1,0,0,0,-1.1224252518129596,0,1,0,0,0,0,0,0,0,0,0,3,-1.350137165256432,-0.9662473497764744,0
0,0,1,1,1.6101837738818572,1,2,1,2,2,0,0,2,2,1,1,2,1.3059849191203683,2.2114911416990277,0
0,0,0,0,-0.02122459966728712,0,1,0,2,0,0,0,0,0,1,0,3,-1.15554337447867,-0.6011946671895255,0
1,0,0,0,0.4274127030587276,1,2,1,0,0,0,0,2,2,1,0,3,0.9799987396977927,0.7195376589044008,0
1,0,1,1,1.6101837738818572,1,0,2,1,1,1,1,1,1,2,0,1,-1.5131302549677197,-0.4090175585607565,0
1,0,1,0,0.9168352151234709,1,2,1,2,2,0,0,2,0,0,1,2,1.0598320897604643,1.3008337064922473,1
0,0,0,0,0.7944795871072851,1,0,0,2,0,2,2,0,0,1,0,1,-0.2308070695860583,0.3317201948545399,0
0,0,0,0,0.4274127030587276,1,0,1,0,2,2,0,2,0,0,1,2,0.8901862208772876,0.7340082951831509,0
0,1,1,0,0.18270144702635593,1,2,1,0,0,0,0,0,0,0,1,2,0.3862381986066735,0.2549111163139782,1
0,0,1,1,1.2839020991720282,0,1,0,0,2,0,2,2,2,2,1,2,-0.342241120715204,0.49991928269824554,0
1,0,1,1,-1.2039956704904167,1,0,1,2,2,0,0,2,0,0,0,2,0.8303112083302836,-0.9008647797609013,0
0,0,0,0,0.14191623768762732,0,1,0,2,0,0,0,0,0,2,0,0,-1.1256058682051684,-0.5135326114399011,0
0,0,1,1,-0.9184992051193165,1,2,1,2,0,0,0,2,2,0,1,2,1.176255725268527,-0.5407532900496234,1
0,0,0,0,0.34584228438127035,1,0,2,1,1,1,1,1,1,2,0,3,-1.4715503851434115,-0.6420036262073425,0
1,0,1,1,-0.22515064636093016,1,2,1,0,2,0,2,0,0,0,1,1,0.6756340925838579,-0.06121493324512289,0
0,0,1,1,0.9576204244621995,1,2,1,0,0,2,0,2,2,1,1,1,1.161286972131776,1.4228414645071372,0
0,0,0,0,-1.081640042474231,1,0,2,1,1,1,1,1,1,0,0,3,-1.4698871903504391,-0.9607105666881111,0
1,0,0,0,-1.2039956704904167,1,2,1,0,0,0,0,0,0,0,1,2,0.31638401730183613,-0.9091809838418294,1
0,0,1,1,-1.0408548331355023,1,0,0,2,0,0,0,0,0,0,0,3,-0.47197031456704513,-0.855886689254237,0
0,0,1,1,-1.1632104611516882,1,0,2,1,1,1,1,1,1,0,0,3,-1.4648976059715222,-0.9827032867641994,0
1,0,0,0,0.01956060967144149,1,0,1,2,0,0,2,2,0,2,1,2,0.800373702056782,0.32527899699875473,0
0,1,0,0,-0.22515064636093016,1,2,1,0,0,2,0,0,0,0,1,2,0.4377972371888154,-0.06831789800389967,1
1,0,1,0,1.6101837738818572,1,2,2,1,1,1,1,1,1,2,1,0,-1.3750850871510167,-0.24988467728803618,0
1,0,0,0,-1.285566089167874,1,0,2,1,1,1,1,1,1,0,0,3,-1.5014878914169132,-1.001740114673592,0
1,1,0,0,1.5693985645431285,0,1,0,2,2,0,0,2,2,1,1,2,-0.280702913375228,0.7477951056621432,0
0,0,0,0,-0.7961435771031307,1,2,1,0,0,0,0,0,2,0,1,2,0.7005820144784427,-0.47413542181513274,0
0,0,1,1,-0.30672106503838736,0,1,0,2,2,2,0,2,2,0,1,1,-0.20918553727741815,-0.3475173543760678,1
1,0,0,0,1.4062577271882142,1,0,0,0,0,0,2,0,0,2,0,0,-0.4769598989459623,0.42783080806569074,0
1,0,0,0,-1.285566089167874,0,1,0,0,0,0,0,0,2,0,1,2,-0.9792447264236037,-0.9948136210889463,1
1,0,0,0,-1.2447808798291453,1,0,0,0,0,0,0,0,0,0,0,2,-0.6831960532745303,-0.9746076716509352,1
0,0,0,0,0.4274127030587276,1,2,2,1,1,1,1,1,1,2,1,1,-1.3035677110532067,-0.4862457561398796,0
0,0,0,0,-0.3882914837158446,1,0,1,2,0,0,0,0,0,0,1,0,0.3363423548175038,-0.22581842091590731,0
0,0,1,1,1.2839020991720282,1,0,2,1,1,1,1,1,1,2,0,3,-1.4865191382801624,-0.44673827203127936,0
1,0,0,1,0.9984056338009281,1,0,2,1,1,1,1,1,1,2,1,3,-1.5064774757958301,-0.49403254669841445,0
0,1,1,0,-1.285566089167874,1,0,1,0,0,0,0,0,0,0,1,3,0.18499162865702248,-0.9793723933524751,1
0,1,1,1,1.6101837738818572,1,2,0,2,2,2,2,2,2,2,1,1,0.77043619578328,1.8244016212424576,0
0,0,0,0,-1.0000696237967737,1,2,0,2,0,0,2,0,2,0,0,2,0.20827635575863512,-0.7617834356488273,1
0,0,1,0,1.1615464711558425,1,2,1,0,2,0,0,2,2,2,1,0,1.2028668419560842,1.623930367429527,0
1,0,0,0,1.2839020991720282,1,2,1,2,2,0,0,0,0,1,1,1,0.6456965863103559,1.3229587799489342,0
1,1,1,0,1.5693985645431285,1,2,2,1,1,1,1,1,1,2,0,0,-1.361779528807238,-0.23565668887371616,0
0,0,1,1,1.324687308510757,1,2,1,2,2,0,2,2,0,2,1,1,1.136339050237191,1.820453078721274,0
1,0,0,0,-1.2039956704904167,1,0,2,1,1,1,1,1,1,1,0,3,-1.5064774757958301,-0.9833871125639575,0
1,0,0,0,-1.285566089167874,1,0,0,0,0,0,0,0,0,0,1,2,-0.6399529886572499,-0.9903136061486032,1
1,0,0,1,-0.10279501834474433,1,0,0,0,2,2,0,2,0,1,0,1,-0.012928551706684058,-0.15900202261051918,0
1,0,1,1,-0.7145731584256735,1,0,0,0,2,2,2,0,2,0,1,3,0.15339092759054826,-0.537775338986161,0
0,0,1,1,-1.0000696237967737,1,0,0,0,0,0,2,2,2,0,1,2,0.12179022652407402,-0.761474611094098,0
1,0,0,0,-1.0408548331355023,1,2,1,0,0,0,0,2,2,0,0,3,1.001620272006433,-0.7212612422889734,1
0,0,1,1,1.5286133552044,1,2,1,2,2,2,0,2,2,1,1,1,1.4390405025581543,2.488330296117192,0
1,0,1,1,1.2023316804945712,1,0,0,2,2,2,2,2,2,2,0,2,0.7055715988573593,1.290399848321746,0
0,0,1,1,-1.081640042474231,1,0,2,1,1,1,1,1,1,0,0,3,-1.5031510862098856,-0.9603796832366152,0
0,0,1,1,-0.7553583677644021,1,0,1,0,0,0,0,0,2,0,1,0,0.5325993403882381,-0.501863455050482,0
0,0,0,0,-0.4290766930545732,1,2,1,0,0,0,0,2,0,0,1,0,0.6407070019314391,-0.20664923962591644,0
1,0,1,1,-0.4290766930545732,1,0,2,1,1,1,1,1,1,1,0,3,-1.4881823330731347,-0.8252027638521918,0
1,0,1,1,-0.6737879490869448,1,0,0,2,0,2,0,2,0,2,0,3,-0.021244525671545673,-0.5586871731206966,0
1,0,0,0,-0.9184992051193165,1,2,2,1,1,1,1,1,1,2,0,0,-1.3035677110532067,-0.8994530103678526,0
0,0,0,1,-0.7961435771031307,1,0,0,2,2,0,0,0,0,0,1,2,-0.295671666511979,-0.6731507884414819,0
0,0,1,0,-0.5106471117320305,1,2,1,2,0,0,0,0,0,0,0,2,0.5824951841774079,-0.3079436935771685,1
0,0,0,0,-1.2447808798291453,1,0,1,0,0,0,0,0,0,0,1,2,0.16004370676243765,-0.950806122040003,0
1,0,0,0,0.8352647964460137,1,2,0,0,2,2,2,0,2,2,1,0,0.2997520693721129,0.7358391836147612,0
0,0,1,1,-0.877713995780588,1,0,2,1,1,1,1,1,1,1,0,3,-1.4732135799363837,-0.9072618598231538,0
1,0,1,0,1.4878281458656715,1,0,2,1,1,1,1,1,1,2,0,3,-1.4964983070379965,-0.40892932297369095,0
0,0,0,0,-1.1632104611516882,1,0,1,0,0,0,0,0,0,0,1,0,0.19996038179377348,-0.8900118025518386,1
1,0,1,0,1.6101837738818572,1,2,0,2,2,2,2,2,2,2,1,0,0.8037000916427265,1.7488719587143464,0
1,1,1,0,1.0391908431396566,0,1,0,0,2,2,0,0,2,0,1,2,-0.6515953522080562,0.1591975632446222,1
0,0,1,1,-0.6737879490869448,1,0,2,1,1,1,1,1,1,0,0,2,-1.4798663591082732,-0.8686587904819754,0
1,0,1,0,0.4274127030587276,1,0,1,2,0,2,2,0,0,1,1,0,0.6440333915173836,0.5509856287124328,0
0,0,1,0,-1.2447808798291453,1,2,1,0,0,2,2,2,2,0,1,2,1.31430089308523,-0.9033353761987368,1
1,0,1,0,-0.7553583677644021,1,0,0,0,2,2,2,2,2,2,0,3,0.5675264310406568,-0.4890913538227436,0
0,0,1,0,0.8352647964460137,1,0,1,0,0,2,0,2,2,1,1,0,0.9966306876275159,1.1955245333295128,1
0,0,0,0,-0.02122459966728712,1,0,2,1,1,1,1,1,1,1,0,0,-1.4748767747293563,-0.7216803613275348,0
0,0,1,0,0.060345819010170096,1,2,2,1,1,1,1,1,1,0,0,2,-1.3368316069126531,-0.6662463537536026,0
0,1,0,0,-0.7145731584256735,1,2,1,0,0,0,0,0,0,0,1,3,0.31804721209480835,-0.504995818391309,1
0,1,0,0,-1.0408548331355023,1,0,1,2,0,0,0,0,0,0,0,0,0.3845750038137013,-0.788276170665259,1
0,0,1,1,-0.7145731584256735,1,2,1,0,2,2,0,2,2,0,1,0,1.3459015941517039,-0.32254668323651703,0
1,0,1,0,1.1615464711558425,1,0,2,1,1,1,1,1,1,1,1,1,-1.4748767747293563,-0.458098603865969,0
0,0,0,0,-1.285566089167874,0,1,0,0,2,0,0,0,0,0,0,0,-1.1621961536505592,-0.997240099733249,1
0,0,0,0,-1.285566089167874,1,0,0,0,0,0,0,0,0,0,0,3,-0.6515953522080562,-0.9904680184259679,0
1,0,0,0,-1.0000696237967737,1,2,1,0,0,0,0,0,2,0,0,0,0.6523493654822452,-0.7181068200513798,1
1,0,1,1,0.01956060967144149,1,0,0,2,0,2,0,2,2,1,0,1,0.3280263808526422,0.07188844984326015,0
0,0,0,0,-0.7961435771031307,1,0,1,0,2,2,0,0,0,0,1,2,0.47771391222015125,-0.520017927089219,1
0,0,1,0,-1.285566089167874,0,1,0,0,0,0,0,0,0,0,1,2,-1.3335052173267088,-0.9995121661001868,1
1,0,0,0,-0.5106471117320305,1,0,0,0,2,0,0,0,0,0,1,3,-0.43538002912165424,-0.5587533498109958,0
1,0,0,0,-1.2039956704904167,0,1,0,0,0,0,2,0,0,0,0,2,-1.1472274005138086,-0.9742106115091402,0
0,0,0,0,-0.7961435771031307,1,0,2,1,1,1,1,1,1,1,0,2,-1.504814281002858,-0.9024530203280813,0
0,0,1,0,0.30505707504254176,1,2,0,0,2,0,0,0,0,0,0,1,-0.27571332899631107,0.039153047041940794,0
1,0,1,1,0.4274127030587276,1,2,0,2,0,0,2,0,2,1,1,1,0.23322427765321996,0.38955862217600823,0
1,0,1,0,-1.081640042474231,1,0,1,0,2,2,0,0,2,0,1,2,0.8685646885686472,-0.7761878952372785,1
0,0,1,1,1.4878281458656715,1,0,2,1,1,1,1,1,1,2,0,0,-1.5014878914169132,-0.4036572466465243,0
0,0,1,1,1.6101837738818572,1,2,1,2,2,2,0,2,2,2,0,1,1.4905995411402961,2.576014410763583,0
1,0,1,1,1.0799760524783852,1,0,2,1,1,1,1,1,1,2,0,1,-1.5164566445536642,-0.4842604554309047,0
0,0,1,0,-0.5106471117320305,1,0,1,2,2,0,2,2,0,0,1,2,1.053179310588575,-0.17148735818029454,0
1,0,1,1,-0.347506274377116,1,2,2,1,1,1,1,1,1,2,1,0,-1.3567899444283211,-0.7513054596847932,0
1,0,0,0,1.0799760524783852,1,2,1,0,2,2,2,2,2,0,1,2,1.5454849693083825,1.8659164649567994,0
1,0,1,1,1.6101837738818572,1,2,1,0,2,2,2,2,2,2,1,0,1.5754224755818846,2.537345164732106,0
1,0,0,1,-1.285566089167874,1,0,2,1,1,1,1,1,1,0,0,3,-1.4682239955574667,-1.0012989367382643,0
0,0,1,0,-0.22515064636093016,1,0,1,2,0,0,2,2,2,1,1,1,1.231141153436614,0.1724108424076885,0
0,0,0,0,-0.7553583677644021,1,0,1,0,2,0,2,0,0,0,1,1,0.5043250289077084,-0.5197311614312561,0
1,0,1,1,1.5693985645431285,1,2,1,2,0,2,0,2,2,2,0,2,1.3525543733235932,2.256689821173356,0
1,0,0,1,-0.7961435771031307,1,0,1,0,0,0,0,2,0,0,1,1,0.446113211153677,-0.5542974526641854,0
1,0,0,0,0.4681979123974562,1,0,1,0,0,0,0,0,0,0,0,1,0.13176939528190787,0.29497007284173804,0
0,0,0,0,0.01956060967144149,1,0,1,0,2,0,2,0,0,1,1,0,0.5009986393217639,0.17404320076840113,0
1,0,1,1,1.6101837738818572,0,1,0,2,2,2,2,0,2,2,1,1,-0.31396680923467446,0.833317448425428,0
1,0,0,0,-1.285566089167874,1,0,1,0,0,0,0,0,2,0,0,2,0.49933544452879164,-0.9752032618636276,1
0,0,0,0,-0.551432321070759,1,0,1,2,0,2,2,2,2,0,1,2,1.3874814639760118,-0.15701672190154428,1
1,0,1,0,1.2839020991720282,1,0,1,0,2,2,2,2,2,1,1,1,1.2494362961593093,1.925188720568083,0
1,0,0,0,-1.2447808798291453,1,0,0,0,0,0,0,0,0,0,1,1,-0.6283106251064436,-0.97317384336112,1
0,0,0,0,-1.285566089167874,0,1,0,0,0,0,0,0,0,0,0,2,-1.3185364641899577,-0.9993136360292894,0
1,0,0,1,1.1615464711558425,1,0,2,1,1,1,1,1,1,2,0,3,-1.5014878914169132,-0.5144811440008558,0
0,0,1,1,-0.14358022768347295,1,0,2,1,1,1,1,1,1,1,0,2,-1.4931719174520517,-0.7721952349225624,0
1,1,1,0,-0.3882914837158446,1,2,1,0,0,0,0,0,2,0,0,2,0.728856325958972,-0.1387519553789754,0
0,0,1,0,0.9984056338009281,0,1,0,2,2,2,0,2,2,0,1,0,-0.20419595289850123,0.5060737148960676,0
1,0,1,1,1.6101837738818572,0,1,0,2,2,2,2,0,0,2,0,1,-0.6532585470010285,0.3747571024457622,0
1,0,1,0,1.3654725178494855,0,1,0,2,2,2,2,2,0,2,1,0,-0.27571332899631107,0.6612580536476045,0
1,0,1,1,1.324687308510757,1,2,0,0,2,2,2,2,2,2,1,0,0.6423701967244113,1.338598537756303,0
0,0,0,0,-1.0000696237967737,1,0,1,0,0,0,0,2,0,0,1,0,0.5026618341147361,-0.7348936404906009,0
0,0,0,0,-1.1632104611516882,1,0,1,0,0,0,0,0,0,0,1,2,0.17501245989918865,-0.8920632799511128,1
